Stock	Ticker	DivDate1	DivDate2	DivDate3	DivDate4	DivDate5	DivDate6	DivAmt1	DivAmt2	DivAmt3	DivAmt4	DivAmt5	DivAmt6	LastYrDivPerShare	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
RAINBOW	NSE:RAINBOW	6/27/2025	7/23/2024	6/22/2023	09-07-2022	0	0	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
RECLTD	NSE:RECLTD	10/27/2025	8/14/2025	08-01-2025	3/26/2025	2/14/2025	11-08-2024	4.6	2.6	4.6	3.6	4.3	0	19.7	0	4	4	0	0	0	0	7	0	5	0	0
RELIANCE	NSE:RELIANCE	8/14/2025	8/19/2024	8/21/2023	8/18/2022	06-11-2021	0	5.5	0	0	0	0	0	5.5	0	0	0	0	0	0	0	6	0	0	0	0
RVNL	NSE:RVNL	8/21/2025	9/23/2024	9/20/2023	04-06-2023	9/22/2022	3/24/2022	1.72	0	0	0	0	0	1.72	0	0	0	0	0	0	0	2	0	0	0	0
SAIL	NSE:SAIL	09-08-2025	9/19/2024	2/20/2024	9/20/2023	3/24/2023	7/28/2022	1.6	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	2	0	0	0
SBIN	NSE:SBIN	5/16/2025	5/22/2024	5/31/2023	5/25/2022	06-03-2021	0	15.9	0	0	0	0	0	15.9	0	0	0	0	16	0	0	0	0	0	0	0
SENCO	NSE:SENCO	8/20/2025	09-06-2024	11/21/2023	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
SIEMENS	NSE:SIEMENS	1/30/2025	1/30/2024	1/31/2023	1/20/2022	1/27/2021	0	12	0	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0
SONATSOFTW	NSE:SONATSOFTW	11/21/2025	08-08-2025	7/23/2025	7/26/2024	11-07-2023	7/21/2023	1.25	1.25	4.4	0	0	0	6.9	0	0	0	0	0	0	4	1	0	0	1	0
SOUTHBANK	NSE:SOUTHBANK	8/13/2025	8/20/2024	8/17/2023	0	0	0	0.4	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0
